78	23	0	51	34	12	24	3	91	92	16	83	83	77	34
23	86	88	42	47	93	18	11	84	91	29	37	66	86	66
69	91	96	99	47	33	60	41	57	58	18	49	0	44	45
26	91	14	25	65	12	25	2	7	43	96	39	15	44	43
92	11	34	23	76	25	81	91	13	17	10	66	18	63	96
0	78	7	93	46	99	15	51	0	49	78	43	43	66	86
29	40	0	44	71	87	43	72	2	39	44	94	90	70	0
74	85	28	38	81	95	92	28	42	19	13	83	62	94	39
44	92	3	45	56	20	60	52	98	21	45	9	52	24	55
32	44	10	14	41	23	14	42	97	4	99	18	53	38	26
5	76	34	64	33	15	2	89	29	22	65	43	49	22	15
38	16	60	99	79	28	63	48	65	33	10	54	78	76	48
73	72	21	63	5	14	81	65	77	98	17	81	67	8	60
85	39	62	64	52	15	78	24	30	53	6	0	40	20	35
60	65	34	54	65	84	74	61	73	85	32	26	75	57	20
