67	87	38	80	35	25	93	27	84	10	92	47	41	13	65
48	47	15	55	3	44	7	75	97	15	25	66	1	55	76
14	66	24	80	97	51	61	72	42	45	56	88	6	98	92
15	55	51	89	25	43	45	45	38	29	82	6	99	88	64
6	69	71	4	71	3	98	62	38	51	14	88	2	19	76
84	26	2	47	57	92	56	5	70	95	78	62	21	65	32
93	16	54	11	53	92	63	28	36	79	14	95	10	19	5
81	89	48	94	72	86	82	63	82	99	65	16	37	32	33
40	17	52	57	45	52	23	83	61	47	17	28	29	50	35
51	86	18	16	15	39	62	27	47	31	65	28	10	27	2
44	49	51	25	18	94	39	87	63	86	1	85	55	48	60
90	14	43	6	44	43	24	72	40	77	57	93	37	98	97
51	15	28	63	61	69	23	40	43	8	77	3	4	58	93
73	85	51	31	22	7	69	26	91	67	19	73	4	75	9
2	75	49	73	39	20	76	96	91	35	81	90	28	96	0
